,ImageID,Artwork Name,Artist,Year,Style
0,IMPRESSIONISM_1.jpg,"The Lake, Petworth, Sunset; Sample Study",J.M.W. Turner,1827-1828,IMPRESSIONISM
1,IMPRESSIONISM_2.jpg,Portrait of the Artist by Himself,Johan Jongkind,1850,IMPRESSIONISM
2,IMPRESSIONISM_3.jpg,Landscape at Valery-sur-Somme,Edgar Degas,1854,IMPRESSIONISM
3,IMPRESSIONISM_4.jpg,Self-portrait,Edgar Degas,1854,IMPRESSIONISM
4,IMPRESSIONISM_5.jpg,Self Portrait,Edgar Degas,1855,IMPRESSIONISM
5,IMPRESSIONISM_6.jpg,Study for the Self Portrait,Edgar Degas,1855,IMPRESSIONISM
6,IMPRESSIONISM_7.jpg,Study of Gentile Bellini,Edgar Degas,1854-1855,IMPRESSIONISM
7,IMPRESSIONISM_8.jpg,The Millinery Shop,Edgar Degas,1855,IMPRESSIONISM
8,IMPRESSIONISM_9.jpg,Degas in a Green Jacket,Edgar Degas,1855-1856,IMPRESSIONISM
9,IMPRESSIONISM_10.jpg,Portrait of an Italian,Edgar Degas,1856,IMPRESSIONISM
10,IMPRESSIONISM_11.jpg,Self-Portrait,Edgar Degas,1855-1856,IMPRESSIONISM
11,IMPRESSIONISM_12.jpg,Woman on a Terrace (Young Woman and Ibis),Edgar Degas,1857,IMPRESSIONISM
12,IMPRESSIONISM_13.jpg,The Covadonga Cave,Martín Rico y Ortega,1857,IMPRESSIONISM
13,IMPRESSIONISM_14.jpg,Dante and Virgil at the Entrance to Hell,Edgar Degas,1857-1858,IMPRESSIONISM
14,IMPRESSIONISM_15.jpg,Self Portrait in a Soft Hat,Edgar Degas,1858,IMPRESSIONISM
15,IMPRESSIONISM_16.jpg,Drawing of a Camel and Rider,Thomas Eakins,1858,IMPRESSIONISM
16,IMPRESSIONISM_17.jpg,Cross of the Gallows in El Escorial,Martín Rico y Ortega,1858,IMPRESSIONISM
17,IMPRESSIONISM_18.jpg,Bullfight Festival in El Escorial,Martín Rico y Ortega,1858,IMPRESSIONISM
18,IMPRESSIONISM_19.jpg,View of El Escorial with the Church of San Bernabé,Martín Rico y Ortega,1858,IMPRESSIONISM
19,IMPRESSIONISM_20.jpg,View of El Escorial from the Cross of the Gallows,Martín Rico y Ortega,1858,IMPRESSIONISM
20,IMPRESSIONISM_21.jpg,View of the Hamlet of El Escorial with the Church of San Bernabé,Martín Rico y Ortega,1858,IMPRESSIONISM
21,IMPRESSIONISM_22.jpg,Panoramic View Of El Escorial With The Church Of San Bernabé,Martín Rico y Ortega,1858,IMPRESSIONISM
22,IMPRESSIONISM_23.jpg,El Escorial Square with the Sanctuary of the Virgen de Gracia,Martín Rico y Ortega,1858,IMPRESSIONISM
23,IMPRESSIONISM_24.jpg,View of El Escorial Monastery,Martín Rico y Ortega,1858,IMPRESSIONISM
24,IMPRESSIONISM_25.jpg,View of El Escorial Monastery,Martín Rico y Ortega,1858,IMPRESSIONISM
25,IMPRESSIONISM_26.jpg,View of El Escorial Monastery,Martín Rico y Ortega,1858,IMPRESSIONISM
26,IMPRESSIONISM_27.jpg,View Of Zarzalejo With The Church Of San Pedro Apóstol,Martín Rico y Ortega,1858,IMPRESSIONISM
27,IMPRESSIONISM_28.jpg,Portrait of a Young Woman (after Bacchiacca),Edgar Degas,1858-1859,IMPRESSIONISM
28,IMPRESSIONISM_29.jpg,Portrait of Giulia Bellelli,Edgar Degas,1858-1859,IMPRESSIONISM
29,IMPRESSIONISM_30.jpg,Portrait of Giulia Bellelli (sketch),Edgar Degas,1859-1860,IMPRESSIONISM
30,IMPRESSIONISM_31.jpg,Portrait of Princess Pauline de Metternich,Edgar Degas,1860,IMPRESSIONISM
31,IMPRESSIONISM_32.jpg,Promenade by the Sea,Edgar Degas,1860,IMPRESSIONISM
32,IMPRESSIONISM_33.jpg,Young Spartans Exercising,Edgar Degas,1860,IMPRESSIONISM
33,IMPRESSIONISM_34.jpg,Study of Hands,Edgar Degas,1860,IMPRESSIONISM
34,IMPRESSIONISM_35.jpg,The Daughter of Jephtha,Edgar Degas,1859-1860,IMPRESSIONISM
35,IMPRESSIONISM_36.jpg,The Daughter of Jephtha (study),Edgar Degas,1859-1860,IMPRESSIONISM
36,IMPRESSIONISM_37.jpg,The Savoy Girl,Edgar Degas,1860,IMPRESSIONISM
37,IMPRESSIONISM_38.jpg,View of Naples,Edgar Degas,1860,IMPRESSIONISM
38,IMPRESSIONISM_39.jpg,Young Spartans Exercising,Edgar Degas,1860,IMPRESSIONISM
39,IMPRESSIONISM_40.jpg,Young Spartans Exercising,Edgar Degas,1860,IMPRESSIONISM
40,IMPRESSIONISM_41.jpg,Reclining Nude,Pierre-Auguste Renoir,1850-1860,IMPRESSIONISM
41,IMPRESSIONISM_42.jpg,Farm in Normandy,Berthe Morisot,1859-1860,IMPRESSIONISM
42,IMPRESSIONISM_43.jpg,Country Road with Cypresses,Giuseppe Abbati,1860,IMPRESSIONISM
43,IMPRESSIONISM_44.jpg,Camp of Zouaves,Silvestro Lega,1860,IMPRESSIONISM
44,IMPRESSIONISM_45.jpg,Alexander and Bucephalus,Edgar Degas,1859-1861,IMPRESSIONISM
45,IMPRESSIONISM_46.jpg,Alexander and Bucephalus (detail),Edgar Degas,1861,IMPRESSIONISM
46,IMPRESSIONISM_47.jpg,Alexander and Bucephalus (detail),Edgar Degas,1861,IMPRESSIONISM
47,IMPRESSIONISM_48.jpg,Alexander and Bucephalus (detail),Edgar Degas,1861,IMPRESSIONISM
48,IMPRESSIONISM_49.jpg,Alexander and Bucephalus (detail),Edgar Degas,1861,IMPRESSIONISM
49,IMPRESSIONISM_50.jpg,"At the Stables, Horse and Dog",Edgar Degas,1861,IMPRESSIONISM
50,IMPRESSIONISM_51.jpg,Semiramis Building a City,Edgar Degas,1861,IMPRESSIONISM
51,IMPRESSIONISM_52.jpg,Semiramis Building Babylon,Edgar Degas,1861,IMPRESSIONISM
52,IMPRESSIONISM_53.jpg,Study for Semiramis Building Babylon,Edgar Degas,1861,IMPRESSIONISM
53,IMPRESSIONISM_54.jpg,The Crucifixion (after Mantegna),Edgar Degas,1861,IMPRESSIONISM
54,IMPRESSIONISM_55.jpg,Two Riders by a Lake,Edgar Degas,1861,IMPRESSIONISM
55,IMPRESSIONISM_56.jpg,Music in the Tuileries Garden,Edouard Manet,1862,IMPRESSIONISM
56,IMPRESSIONISM_57.jpg,At the Races. the Start,Edgar Degas,1861-1862,IMPRESSIONISM
57,IMPRESSIONISM_58.jpg,Gentlemen Jockeys before the Start,Edgar Degas,1862,IMPRESSIONISM
58,IMPRESSIONISM_59.jpg,Jockey,Edgar Degas,1862,IMPRESSIONISM
59,IMPRESSIONISM_60.jpg,Jockeys at Epsom,Edgar Degas,1861-1862,IMPRESSIONISM
60,IMPRESSIONISM_61.jpg,Little Girl Carrying Flowers in Her Apron,Edgar Degas,1860-1862,IMPRESSIONISM
61,IMPRESSIONISM_62.jpg,On the Racecourse,Edgar Degas,1860-1862,IMPRESSIONISM
62,IMPRESSIONISM_63.jpg,Sleeping Cat,Pierre-Auguste Renoir,1862,IMPRESSIONISM
63,IMPRESSIONISM_64.jpg,The Last of Old Westminster,James McNeill Whistler,1862,IMPRESSIONISM
64,IMPRESSIONISM_65.jpg,Fishing,Edouard Manet,1863,IMPRESSIONISM
65,IMPRESSIONISM_66.jpg,Village Corner,Camille Pissarro,1863,IMPRESSIONISM
66,IMPRESSIONISM_67.jpg,David and Goliath,Edgar Degas,1863,IMPRESSIONISM
67,IMPRESSIONISM_68.jpg,Leon Bonnat,Edgar Degas,1863,IMPRESSIONISM
68,IMPRESSIONISM_69.jpg,Self Portrait,Edgar Degas,1863,IMPRESSIONISM
69,IMPRESSIONISM_70.jpg,"Therese de Gas, sister of the artist, later Madame Edmond Morbilli",Edgar Degas,1863,IMPRESSIONISM
70,IMPRESSIONISM_71.jpg,Elegant Women on the Beach,Eugene Boudin,1863,IMPRESSIONISM
71,IMPRESSIONISM_72.jpg,Empress Eugenie on the beach at Trouville,Eugene Boudin,1863,IMPRESSIONISM
72,IMPRESSIONISM_73.jpg,On the Beach,Eugene Boudin,1863,IMPRESSIONISM
73,IMPRESSIONISM_74.jpg,Sky,Eugene Boudin,1863,IMPRESSIONISM
74,IMPRESSIONISM_75.jpg,Strand in Trouville,Eugene Boudin,1863,IMPRESSIONISM
75,IMPRESSIONISM_76.jpg,The beach at Deauville,Eugene Boudin,1863,IMPRESSIONISM
76,IMPRESSIONISM_77.jpg,"Trouville, Black Rocks",Eugene Boudin,1863,IMPRESSIONISM
77,IMPRESSIONISM_78.jpg,Battersea Reach,James McNeill Whistler,1863,IMPRESSIONISM
78,IMPRESSIONISM_79.jpg,Battersea Reach from Lindsey Houses,James McNeill Whistler,1863,IMPRESSIONISM
79,IMPRESSIONISM_80.jpg,Grey and Silver Old Battersea Reach,James McNeill Whistler,1863,IMPRESSIONISM
80,IMPRESSIONISM_81.jpg,The Old Track to Auvers,Berthe Morisot,1863,IMPRESSIONISM
81,IMPRESSIONISM_82.jpg,View of Tivoli (after Corot),Berthe Morisot,1863,IMPRESSIONISM
82,IMPRESSIONISM_83.jpg,Arno near Casaccia,Giuseppe Abbati,1863,IMPRESSIONISM
